order_id,created_at,discount,product_id,quantity,subtotal,tax,total,customer_id
16364,2022-06-12 15:16:45,15,354,25,17925,537.75,15693.34,260
2626,2022-06-09 12:42:14,0,236,2,126,21.42,147.42,316
20268,2022-06-22 12:44:23,0,405,9,4284,771.12,5055.12,563
20246,2022-06-30 05:22:38,15,58,41,27265,272.65,23407.0,518
11179,2022-06-10 21:07:40,0,23,5,130,7.8,137.8,524
4259,2022-06-08 08:08:01,15,215,41,17343,3121.74,17395.03,696
13146,2022-06-10 09:15:09,10,180,8,6616,661.6,6549.84,62
20266,2022-06-21 01:50:42,15,365,33,5709,513.81,5289.39,777
19100,2022-06-23 19:12:30,10,482,40,3120,374.4,3144.96,825
24296,2022-06-26 09:16:52,0,190,14,8610,1377.6,9987.6,19
10066,2022-06-15 16:56:20,15,275,14,11746,1057.14,10882.67,313
27100,2022-06-27 03:37:11,15,262,44,28336,3116.96,26735.02,597
20079,2022-06-20 13:08:54,15,48,19,4864,48.64,4175.74,337
16719,2022-06-22 14:54:57,10,25,29,14123,423.69,13092.02,408
22475,2022-06-27 21:10:22,0,428,2,1986,39.72,2025.72,361
1314,2022-06-06 23:37:44,0,234,9,1764,264.6,2028.6,484
21223,2022-06-28 04:24:03,15,437,46,5704,570.4,5333.24,206
9784,2022-06-09 00:11:54,15,157,39,2964,474.24,2922.5,674
23433,2022-06-08 14:05:30,10,210,30,9030,1625.4,9589.86,164
22980,2022-06-24 23:45:24,10,495,6,4812,144.36,4460.72,212
7239,2022-06-29 10:34:40,0,219,44,2420,96.8,2516.8,775
21275,2022-06-22 03:01:35,15,278,40,36560,6580.8,36669.68,760
11247,2022-06-16 11:58:35,15,419,24,1536,184.32,1462.27,890
29274,2022-06-28 05:06:58,10,484,12,10080,806.4,9797.76,656
28705,2022-06-23 00:00:14,10,250,38,9728,291.84,9017.86,189
16659,2022-06-09 12:52:31,10,399,39,17043,681.72,15952.25,33
12307,2022-06-26 20:13:19,10,189,16,3008,360.96,3032.06,154
8546,2022-06-07 04:37:48,0,187,32,3264,456.96,3720.96,234
27444,2022-06-09 07:04:13,0,483,6,5112,613.44,5725.44,569
17015,2022-06-06 21:27:33,10,163,42,1218,207.06,1282.55,220
25279,2022-06-09 10:45:36,15,214,23,20102,1809.18,18624.5,689
14540,2022-06-26 17:15:01,15,42,47,46671,7934.07,46414.31,354
23388,2022-06-08 11:02:23,15,471,19,4465,178.6,3947.06,406
18671,2022-06-26 09:36:55,10,293,33,20328,1219.68,19392.91,9
2977,2022-06-09 22:21:55,15,322,48,26928,4308.48,26551.01,253
6875,2022-06-25 07:53:40,0,155,46,21114,1266.84,22380.84,267
8527,2022-06-29 19:17:09,10,20,36,35640,2138.4,34000.56,968
27150,2022-06-25 12:01:21,10,149,22,616,12.32,565.49,774
17988,2022-06-10 23:22:27,0,40,23,6532,261.28,6793.28,51
21324,2022-06-13 18:50:38,10,383,8,6400,576.0,6278.4,297
16276,2022-06-16 06:34:49,15,30,4,3640,364.0,3403.4,541
2062,2022-06-21 08:30:40,0,444,26,9178,1009.58,10187.58,222
23963,2022-06-09 10:35:53,0,287,15,6975,976.5,7951.5,132
29975,2022-06-13 05:22:29,0,287,43,19995,3199.2,23194.2,843
17050,2022-06-22 07:06:02,15,316,30,21210,2757.3,20372.2,598
11217,2022-06-10 00:22:10,0,480,6,1326,198.9,1524.9,49
6472,2022-06-15 04:05:08,0,194,5,1295,38.85,1333.85,820
22361,2022-06-13 05:17:41,15,434,5,4725,94.5,4096.58,173
12207,2022-06-14 09:59:05,10,240,17,13923,2088.45,14410.3,428
98,2022-06-07 05:37:26,10,486,37,36038,6126.46,37948.01,864
22757,2022-06-07 07:52:12,10,454,21,987,187.53,1057.08,640
23460,2022-06-25 10:23:40,0,189,15,2820,225.6,3045.6,168
5226,2022-06-10 07:25:19,10,318,23,7222,1372.18,7734.76,957
4693,2022-06-11 07:19:57,0,122,50,46600,8854.0,55454.0,21
22912,2022-06-20 08:28:44,15,468,39,10569,2113.8,10780.38,256
18456,2022-06-09 02:43:53,0,143,33,19272,3661.68,22933.68,138
12350,2022-06-20 17:59:28,15,441,8,3072,307.2,2872.32,744
1084,2022-06-15 17:52:29,15,446,11,1518,197.34,1458.04,348
4080,2022-06-23 07:38:32,0,247,31,24335,1946.8,26281.8,222
24521,2022-06-08 02:58:18,0,118,30,26910,2691.0,29601.0,638
25646,2022-06-07 00:20:39,15,357,4,3520,457.6,3380.96,756
1245,2022-06-09 13:02:15,0,488,40,16280,2767.6,19047.6,439
13315,2022-06-16 17:54:27,15,463,40,19400,3298.0,19293.3,295
13398,2022-06-28 18:56:03,0,91,24,11880,356.4,12236.4,611
11719,2022-06-27 04:11:12,10,238,32,16000,2560.0,16704.0,279
1520,2022-06-28 09:47:30,10,334,49,13132,1444.52,13118.87,288
1375,2022-06-16 23:25:02,0,328,6,5934,415.38,6349.38,749
920,2022-06-24 04:31:53,15,136,43,8041,0.0,6834.85,69
27174,2022-06-23 23:47:11,15,86,3,1809,162.81,1676.04,351
23627,2022-06-11 12:58:20,15,474,17,9299,0.0,7904.15,575
5427,2022-06-19 12:05:53,15,322,3,1683,185.13,1587.91,923
6704,2022-06-17 03:20:21,0,188,46,1886,226.32,2112.32,326
27464,2022-06-15 19:59:05,0,165,1,573,91.68,664.68,834
784,2022-06-22 15:52:38,15,77,42,35196,3519.6,32908.26,660
23663,2022-06-26 04:56:28,0,375,29,15660,1722.6,17382.6,652
233,2022-06-19 18:29:15,10,129,6,1590,318.0,1717.2,48
25427,2022-06-21 10:27:40,15,360,46,26496,3974.4,25899.84,306
10865,2022-06-18 11:39:20,0,158,9,558,66.96,624.96,506
776,2022-06-28 11:38:44,15,115,43,2537,253.7,2372.09,171
16663,2022-06-29 15:56:51,0,293,26,16016,1441.44,17457.44,718
23159,2022-06-26 04:28:52,0,63,38,1938,19.38,1957.38,434
8778,2022-06-29 11:40:07,0,483,18,15336,3067.2,18403.2,953
16692,2022-06-30 02:07:17,15,311,31,5394,53.94,4630.75,50
18518,2022-06-06 11:06:22,10,66,6,5682,1022.76,6034.28,887
6808,2022-06-18 03:43:00,10,74,34,26044,1562.64,24845.98,828
17760,2022-06-14 15:08:05,15,401,32,30528,2442.24,28024.7,818
21729,2022-06-16 00:10:34,0,273,30,13560,1762.8,15322.8,584
25569,2022-06-14 05:42:03,15,202,11,6787,746.57,6403.53,42
19954,2022-06-17 06:53:04,15,185,6,1524,106.68,1386.08,734
17065,2022-06-20 08:59:22,0,173,22,4378,525.36,4903.36,744
9160,2022-06-16 23:22:49,0,356,3,1758,70.32,1828.32,813
27821,2022-06-13 16:34:37,10,12,23,4531,589.03,4608.03,56
9192,2022-06-19 01:31:45,0,135,27,4536,635.04,5171.04,298
18676,2022-06-28 13:48:01,0,410,48,46608,932.16,47540.16,117
8548,2022-06-06 02:15:58,15,379,9,837,133.92,825.28,562
22225,2022-06-12 22:58:50,15,136,41,7667,306.68,6777.63,569
28652,2022-06-21 12:38:09,10,79,47,34216,1710.8,32334.12,647
15815,2022-06-13 16:29:40,15,13,23,16399,1803.89,15472.46,980
15997,2022-06-10 23:05:05,15,200,4,2336,420.48,2343.01,136
6212,2022-06-22 18:55:22,0,344,45,1980,59.4,2039.4,946
11899,2022-06-27 19:50:24,15,416,35,6685,802.2,6364.12,31
5934,2022-06-21 14:10:19,10,104,12,11160,446.4,10445.76,449
24727,2022-06-15 03:33:05,0,185,47,11938,2268.22,14206.22,828
382,2022-06-24 11:30:49,0,143,7,4088,327.04,4415.04,662
20535,2022-06-06 06:57:44,10,14,33,15774,2208.36,16184.12,293
22217,2022-06-13 02:53:11,10,492,2,460,41.4,451.26,730
11381,2022-06-26 12:45:04,10,66,32,30304,3636.48,30546.43,767
5543,2022-06-30 15:42:47,10,83,8,6432,64.32,5846.69,38
3137,2022-06-14 03:45:46,15,407,23,16146,322.92,13998.58,157
4443,2022-06-06 14:15:28,10,63,29,1479,266.22,1570.7,718
21523,2022-06-26 08:42:18,15,220,4,1328,92.96,1207.82,170
250,2022-06-18 13:10:35,0,127,5,1300,182.0,1482.0,793
28531,2022-06-30 06:24:24,10,325,46,7452,298.08,6975.07,961
28676,2022-06-18 13:19:48,10,295,1,16,0.48,14.83,606
20554,2022-06-23 06:44:57,10,352,16,14816,740.8,14001.12,832
13347,2022-06-10 10:50:42,0,222,18,7560,680.4,8240.4,502
22937,2022-06-10 05:27:33,15,51,26,21996,1759.68,20192.33,942
1224,2022-06-22 08:09:43,0,24,4,292,35.04,327.04,765
18562,2022-06-16 07:12:24,0,268,24,4416,750.72,5166.72,606
7384,2022-06-17 17:01:40,10,15,39,20475,2252.25,20454.53,366
29417,2022-06-15 11:23:01,0,356,47,27542,275.42,27817.42,403
8899,2022-06-21 06:13:10,15,50,32,31584,0.0,26846.4,843
11520,2022-06-14 23:22:40,15,288,32,31264,5940.16,31623.54,45
11933,2022-06-20 06:15:03,15,110,15,12735,1655.55,12231.97,579
4179,2022-06-25 06:19:02,10,350,8,3248,389.76,3273.98,113
2891,2022-06-06 16:41:57,10,498,14,10136,405.44,9487.3,522
7658,2022-06-12 03:35:58,15,221,1,244,21.96,226.07,815
23278,2022-06-19 20:08:03,15,182,37,30414,2737.26,28178.57,771
4921,2022-06-14 12:36:30,10,88,5,3875,271.25,3731.62,905
26670,2022-06-15 13:46:47,0,189,19,3572,571.52,4143.52,416
20712,2022-06-18 02:50:18,0,110,9,7641,0.0,7641.0,566
23844,2022-06-09 01:46:51,0,491,28,7812,1406.16,9218.16,697
5498,2022-06-06 04:53:28,10,406,18,8820,1411.2,9208.08,209
19026,2022-06-24 11:42:18,15,25,10,4870,292.2,4387.87,10
14164,2022-06-27 07:50:53,15,114,31,25544,766.32,22363.77,981
1434,2022-06-30 08:32:02,0,1,46,3082,493.12,3575.12,870
29973,2022-06-23 18:22:05,0,143,12,7008,1121.28,8129.28,894
26355,2022-06-23 19:52:03,15,403,8,5744,804.16,5565.94,837
19920,2022-06-20 08:16:51,15,497,25,19050,2857.5,18621.38,728
19118,2022-06-17 11:34:56,0,286,6,2202,352.32,2554.32,927
10971,2022-06-20 05:17:59,15,82,10,2790,251.1,2584.94,472
9570,2022-06-10 08:15:44,0,470,20,9860,493.0,10353.0,884
4355,2022-06-30 13:59:32,0,12,44,8668,1473.56,10141.56,153
5778,2022-06-18 04:27:23,0,155,43,19737,2171.07,21908.07,701
12306,2022-06-29 11:45:08,0,148,27,14067,281.34,14348.34,919
238,2022-06-19 15:28:49,15,24,16,1168,198.56,1161.58,482
26520,2022-06-24 21:22:41,15,460,36,16632,166.32,14278.57,444
20068,2022-06-26 23:02:38,10,53,29,16936,2540.4,17528.76,548
28305,2022-06-14 21:22:54,15,325,15,2430,413.1,2416.63,815
10420,2022-06-25 08:02:44,15,62,38,36328,4359.36,34584.26,463
15018,2022-06-17 19:06:48,15,412,26,7384,738.4,6904.04,596
16232,2022-06-24 22:27:14,10,416,14,2674,481.32,2839.79,873
24358,2022-06-17 11:10:05,15,32,30,14460,1735.2,13765.92,98
4752,2022-06-07 22:40:54,15,167,48,8448,506.88,7611.65,472
4838,2022-06-23 05:00:25,0,417,34,20298,2841.72,23139.72,323
10606,2022-06-14 01:56:50,0,471,46,10810,1405.3,12215.3,5
2326,2022-06-16 23:36:22,10,481,5,2000,300.0,2070.0,617
12735,2022-06-19 07:41:10,10,358,37,21423,0.0,19280.7,125
26556,2022-06-28 14:40:45,10,300,50,39150,4306.5,39110.85,181
3127,2022-06-19 08:51:05,10,301,5,4790,766.4,5000.76,323
10897,2022-06-30 17:23:58,0,75,15,1050,10.5,1060.5,662
8389,2022-06-27 06:40:12,10,376,12,11772,353.16,10912.64,342
12807,2022-06-29 13:40:51,10,419,7,448,31.36,431.42,655
22686,2022-06-22 23:13:38,15,98,11,10824,1407.12,10396.45,895
17357,2022-06-29 03:49:22,10,110,40,33960,4414.8,34537.32,696
17587,2022-06-14 12:05:04,15,27,50,26700,4005.0,26099.25,435
14458,2022-06-15 00:22:20,15,216,35,4865,778.4,4796.89,424
840,2022-06-24 04:11:56,15,498,32,23168,695.04,20283.58,403
4049,2022-06-17 17:35:51,10,454,15,705,21.15,653.54,705
3158,2022-06-23 10:35:51,10,16,2,1652,148.68,1620.61,249
13163,2022-06-22 08:04:12,15,462,8,7992,959.04,7608.38,65
11226,2022-06-25 23:38:55,0,188,8,328,26.24,354.24,610
26126,2022-06-08 19:04:30,10,379,22,2046,286.44,2099.2,1000
28644,2022-06-26 06:32:30,0,204,43,40248,6037.2,46285.2,47
8547,2022-06-13 23:35:07,10,378,5,2870,143.5,2712.15,770
22263,2022-06-20 22:08:08,0,436,9,8613,1464.21,10077.21,243
3925,2022-06-30 04:07:00,15,220,19,6308,441.56,5737.13,570
8911,2022-06-19 03:10:21,10,478,33,23166,694.98,21474.88,95
25790,2022-06-28 06:52:29,0,343,42,22344,3128.16,25472.16,250
11600,2022-06-23 06:34:18,0,135,15,2520,226.8,2746.8,431
24563,2022-06-22 03:43:51,0,216,48,6672,800.64,7472.64,769
18097,2022-06-24 10:10:42,0,185,24,6096,670.56,6766.56,945
16704,2022-06-30 10:25:53,10,39,19,11666,2099.88,12389.29,123
19550,2022-06-10 16:16:10,0,27,6,3204,160.2,3364.2,463
5766,2022-06-07 01:28:51,10,99,9,4689,281.34,4473.31,333
19459,2022-06-26 09:55:19,15,330,2,1948,370.12,1970.4,138
8260,2022-06-27 21:20:50,10,232,36,20088,1004.4,18983.16,217
29829,2022-06-25 19:48:23,15,363,44,6468,905.52,6267.49,553
11168,2022-06-24 08:03:06,15,138,6,2652,106.08,2344.37,538
6726,2022-06-13 13:12:10,0,172,1,678,88.14,766.14,159
1988,2022-06-07 05:04:44,15,203,18,7722,308.88,6826.25,8
5674,2022-06-07 05:27:45,0,401,6,5724,629.64,6353.64,870
16905,2022-06-07 22:39:16,0,286,29,10643,1383.59,12026.59,78
14800,2022-06-20 02:40:37,15,13,39,27807,1112.28,24581.39,546
8044,2022-06-28 11:32:16,0,111,32,28992,2029.44,31021.44,847
17909,2022-06-29 11:26:51,15,191,50,40350,807.0,34983.45,717
12838,2022-06-11 07:22:22,15,237,30,14250,285.0,12354.75,465
4253,2022-06-23 04:35:57,0,35,21,9786,1076.46,10862.46,52
25031,2022-06-12 06:09:10,10,392,26,7124,1353.56,7629.8,186
25451,2022-06-10 13:31:39,10,489,39,13650,2730.0,14742.0,565
23812,2022-06-15 04:56:43,0,354,20,14340,1003.8,15343.8,18
10601,2022-06-28 13:08:31,0,23,32,832,41.6,873.6,892
15906,2022-06-08 05:59:50,15,120,23,12857,1285.7,12021.3,698
10300,2022-06-12 03:14:36,10,82,14,3906,78.12,3585.71,268
8386,2022-06-29 01:06:34,0,255,44,26708,3739.12,30447.12,941
18629,2022-06-30 17:37:58,0,477,2,1226,122.6,1348.6,151
2374,2022-06-14 20:51:40,15,256,43,6966,487.62,6335.58,556
11527,2022-06-16 18:47:42,15,491,28,7812,1171.8,7636.23,773
29457,2022-06-14 06:59:17,15,335,1,155,3.1,134.38,97
16970,2022-06-17 13:47:05,10,292,2,894,44.7,844.83,574
31,2022-06-23 08:10:06,15,224,15,1650,132.0,1514.7,752
2715,2022-06-22 06:15:18,0,103,49,7644,305.76,7949.76,135
6007,2022-06-13 08:46:26,15,269,11,3410,647.9,3449.22,633
6351,2022-06-29 00:00:41,15,77,15,12570,2388.3,12714.55,357
19453,2022-06-24 01:14:51,15,49,23,874,8.74,750.33,3
19877,2022-06-26 08:00:48,15,300,37,28971,3186.81,27334.14,316
20815,2022-06-10 07:43:27,10,118,50,44850,4036.5,43997.85,127
13745,2022-06-08 10:10:23,10,382,6,4890,831.3,5149.17,573
28501,2022-06-18 07:10:51,15,29,25,10100,202.0,8756.7,573
18089,2022-06-17 11:23:37,15,459,1,305,15.25,272.21,816
9500,2022-06-23 10:02:07,10,401,22,20988,3148.2,21722.58,617
22354,2022-06-27 15:07:50,15,387,19,17955,2872.8,17703.63,591
14420,2022-06-20 20:20:17,10,385,33,11814,1890.24,12333.82,830
5521,2022-06-29 10:39:02,10,287,17,7905,1581.0,8537.4,571
20694,2022-06-20 21:36:33,15,217,43,28079,3650.27,26969.88,463
3336,2022-06-21 20:56:28,15,180,50,41350,2894.5,37607.82,794
226,2022-06-29 03:02:39,10,62,29,27724,4990.32,29442.89,973
12098,2022-06-25 11:08:45,0,415,43,10535,1158.85,11693.85,766
28019,2022-06-08 21:23:30,10,435,47,40843,1633.72,38229.05,360
27223,2022-06-27 09:52:27,10,330,4,3896,77.92,3576.53,957
1793,2022-06-26 08:36:29,0,302,11,2761,276.1,3037.1,381
23672,2022-06-11 20:11:53,10,190,22,13530,270.6,12420.54,973
13945,2022-06-16 11:37:03,0,254,11,8547,1452.99,9999.99,401
22716,2022-06-26 13:43:19,15,360,16,9216,276.48,8068.61,120
4335,2022-06-22 13:45:32,15,225,8,2560,128.0,2284.8,70
13963,2022-06-29 18:02:03,0,443,49,43953,3955.77,47908.77,82
26264,2022-06-13 18:11:32,15,389,19,18221,2550.94,17656.15,242
6563,2022-06-29 11:10:34,15,482,45,3510,386.1,3311.68,149
10901,2022-06-14 14:11:29,0,224,18,1980,198.0,2178.0,378
18375,2022-06-10 06:12:53,0,494,29,17052,1705.2,18757.2,286
14834,2022-06-12 01:56:54,15,359,27,25974,4155.84,25610.36,88
13276,2022-06-22 10:35:58,0,487,39,33852,338.52,34190.52,571
8552,2022-06-29 11:30:23,0,318,45,14130,2260.8,16390.8,909
20287,2022-06-16 20:38:29,0,176,10,3770,37.7,3807.7,433
26319,2022-06-30 03:12:45,15,482,8,624,24.96,551.62,33
2825,2022-06-10 15:15:15,10,13,46,32798,4919.7,33945.93,27
5594,2022-06-29 18:21:54,0,178,36,30456,913.68,31369.68,24
2216,2022-06-16 02:37:37,10,347,25,23275,3025.75,23670.68,28
21293,2022-06-05 22:37:01,15,265,31,8060,564.2,7330.57,127
4417,2022-06-23 19:37:18,10,256,10,1620,162.0,1603.8,175
1122,2022-06-17 19:00:17,10,81,27,6426,128.52,5899.07,196
29230,2022-06-09 18:07:15,15,454,26,1222,24.44,1059.47,528
21962,2022-06-07 07:25:48,10,22,44,14520,435.6,13460.04,855
26401,2022-06-10 18:52:01,0,150,23,8924,535.44,9459.44,267
28074,2022-06-15 02:31:52,15,49,3,114,10.26,105.62,969
27718,2022-06-13 12:41:29,15,479,35,6755,1013.25,6603.01,657
6985,2022-06-11 14:46:23,15,310,10,6620,926.8,6414.78,402
1700,2022-06-29 04:30:11,0,231,40,35360,3889.6,39249.6,805
11483,2022-06-19 02:45:37,0,107,47,17907,1432.56,19339.56,623
1753,2022-06-15 21:16:11,15,101,50,21450,214.5,18414.82,585
25010,2022-06-27 08:22:48,15,109,37,36704,2936.32,33694.27,282
23190,2022-06-11 16:02:47,10,237,1,475,95.0,513.0,592
5455,2022-06-15 22:22:55,10,127,28,7280,1019.2,7469.28,40
10169,2022-06-30 18:28:56,10,366,32,5504,0.0,4953.6,277
25305,2022-06-27 22:03:44,0,404,24,480,67.2,547.2,955
27328,2022-06-18 01:11:31,15,162,21,7371,1400.49,7455.77,837
26998,2022-06-09 06:12:40,15,493,42,5082,304.92,4578.88,207
9422,2022-06-13 06:58:12,15,363,44,6468,517.44,5937.62,705
20416,2022-06-08 06:37:55,15,227,1,727,130.86,729.18,343
27629,2022-06-18 21:04:38,0,273,31,14012,1821.56,15833.56,61
26816,2022-06-05 22:37:17,0,145,21,10374,622.44,10996.44,68
10210,2022-06-08 03:20:12,15,126,9,4752,47.52,4079.59,801
6781,2022-06-27 23:32:59,10,334,16,4288,686.08,4476.67,832
22112,2022-06-14 06:18:51,10,41,29,12644,758.64,12062.38,205
16143,2022-06-12 17:46:48,10,300,16,12528,751.68,11951.71,836
16560,2022-06-13 21:52:10,0,434,19,17955,2154.6,20109.6,811
13501,2022-06-15 08:27:52,0,5,48,19872,1788.48,21660.48,993
18651,2022-06-15 07:49:51,15,347,24,22344,1564.08,20321.87,64
18184,2022-06-07 22:03:42,0,352,14,12964,1685.32,14649.32,111
2598,2022-06-29 08:17:20,10,244,48,17568,2635.2,18182.88,360
20214,2022-06-27 05:29:18,0,438,24,21456,3432.96,24888.96,116
362,2022-06-30 07:27:31,10,18,38,7448,670.32,7306.49,225
4451,2022-06-23 14:16:54,10,290,15,12645,2402.55,13542.8,571
5624,2022-06-29 12:20:38,0,274,14,2842,255.78,3097.78,301
17642,2022-06-20 09:13:11,15,223,40,7840,1254.4,7730.24,778
9271,2022-06-13 08:06:38,0,305,48,23376,1168.8,24544.8,607
6544,2022-06-30 03:14:38,15,70,22,9394,1409.1,9182.64,820
23713,2022-06-26 03:54:06,10,476,45,30600,6120.0,33048.0,301
17992,2022-06-13 17:10:10,0,402,38,32756,6223.64,38979.64,108
17973,2022-06-07 14:51:35,0,46,34,21148,1480.36,22628.36,598
21810,2022-06-25 04:42:04,10,10,50,35150,4569.5,35747.55,967
3071,2022-06-17 19:12:46,15,312,7,3234,194.04,2913.83,744
27409,2022-06-07 01:17:50,0,89,50,27400,1370.0,28770.0,599
15116,2022-06-17 00:14:01,15,296,17,3383,202.98,3048.08,790
8197,2022-06-19 10:12:00,0,133,44,11880,237.6,12117.6,301
4060,2022-06-30 08:25:04,0,403,14,10052,301.56,10353.56,406
13369,2022-06-25 16:06:52,10,243,46,27370,1368.5,25864.65,396
2321,2022-06-10 14:49:37,0,33,43,36980,1109.4,38089.4,317
8559,2022-06-17 21:04:30,0,228,34,22508,3826.36,26334.36,359
596,2022-06-07 08:28:36,0,404,8,160,3.2,163.2,742
13582,2022-06-12 22:14:54,15,180,47,38869,5052.97,37333.67,516
28707,2022-06-11 21:37:14,10,386,17,9622,1635.74,10131.97,980
14190,2022-06-10 13:19:23,0,262,35,22540,4057.2,26597.2,254
19822,2022-06-12 13:19:15,15,381,9,891,53.46,802.79,773
16446,2022-06-27 19:31:18,10,295,37,592,94.72,618.05,779
25355,2022-06-27 10:00:34,0,25,30,14610,1022.7,15632.7,991
15102,2022-06-08 19:09:01,15,162,29,10179,1730.43,10123.02,81
4412,2022-06-26 09:07:28,15,199,37,28971,289.71,24871.6,585
11785,2022-06-30 21:14:12,10,53,43,25112,3013.44,25312.9,809
29899,2022-06-16 05:06:38,0,180,21,17367,868.35,18235.35,209
2797,2022-06-16 07:33:13,15,192,24,23040,3225.6,22325.76,607
24530,2022-06-10 12:05:39,10,487,42,36456,4739.28,37075.75,776
17936,2022-06-06 21:57:40,10,499,49,13083,915.81,12598.93,961
6099,2022-06-21 10:38:12,15,355,46,34316,1029.48,30043.66,990
25474,2022-06-27 09:37:02,15,26,47,20304,203.04,17430.98,39
15923,2022-06-30 08:13:13,15,186,17,7055,70.55,6056.72,662
13177,2022-06-13 23:35:22,15,271,5,3220,289.8,2983.33,64
16218,2022-06-17 22:13:47,15,168,43,10449,2089.8,10657.98,485
7711,2022-06-25 16:14:00,0,471,29,6815,340.75,7155.75,334
19846,2022-06-14 05:21:04,0,331,47,3290,65.8,3355.8,76
23472,2022-06-21 13:34:46,10,399,17,7429,1411.51,7956.46,685
15802,2022-06-14 03:50:53,10,245,43,19221,1729.89,18855.8,236
14450,2022-06-22 12:31:06,15,436,45,43065,6459.75,42096.04,907
27656,2022-06-30 20:13:57,0,261,48,14592,1021.44,15613.44,654
16497,2022-06-30 18:35:10,0,29,22,8888,1688.72,10576.72,459
6253,2022-06-20 15:02:12,10,194,16,4144,580.16,4251.74,869
7843,2022-06-28 22:30:47,0,73,20,18520,1852.0,20372.0,658
17733,2022-06-13 16:38:12,0,486,21,20454,613.62,21067.62,121
22497,2022-06-22 15:13:37,0,378,22,12628,1010.24,13638.24,1000
9710,2022-06-23 16:35:50,10,8,12,7896,631.68,7674.91,303
11047,2022-06-22 14:35:21,10,378,3,1722,275.52,1797.77,889
12032,2022-06-27 03:41:55,15,141,30,27420,274.2,23540.07,765
22066,2022-06-27 02:18:37,0,360,4,2304,207.36,2511.36,924
10094,2022-06-30 19:40:11,0,303,9,3969,714.42,4683.42,357
16532,2022-06-25 01:21:35,15,452,2,432,47.52,407.59,770
10690,2022-06-20 03:24:01,0,200,39,22776,2277.6,25053.6,573
25896,2022-06-09 09:27:15,10,308,36,20232,1820.88,19847.59,253
5643,2022-06-12 07:08:43,15,97,29,9541,381.64,8434.24,934
22999,2022-06-21 14:52:41,10,495,37,29674,4154.36,30445.52,512
18187,2022-06-17 23:55:06,15,77,37,31006,2790.54,28727.06,443
12375,2022-06-10 10:31:34,10,210,29,8729,261.87,8091.78,234
7407,2022-06-27 06:15:09,10,300,12,9396,751.68,9132.91,961
26011,2022-06-12 18:39:07,0,363,38,5586,614.46,6200.46,923
5768,2022-06-26 02:32:00,0,498,2,1448,115.84,1563.84,502
13125,2022-06-30 05:01:56,10,353,30,25980,779.4,24083.46,448
7805,2022-06-27 07:58:13,0,374,1,972,174.96,1146.96,431
11509,2022-06-19 15:54:04,10,444,35,12355,123.55,11230.7,734
14821,2022-06-08 23:13:18,0,195,8,2216,421.04,2637.04,856
2668,2022-06-30 15:31:09,0,155,1,459,27.54,486.54,947
12197,2022-06-15 07:27:06,10,487,46,39928,3992.8,39528.72,182
1503,2022-06-26 21:02:45,10,173,23,4577,91.54,4201.69,520
6506,2022-06-18 10:57:57,15,49,2,76,5.32,69.12,837
9391,2022-06-24 00:55:08,10,237,4,1900,285.0,1966.5,198
